ridetime,probability
0,0.00206817946873
1,0.0174968904879
2,0.039867599641
3,0.0561437309009
4,0.066766443212
5,0.0703378553223
6,0.0678436611715
7,0.0624727156362
8,0.0574665492877
9,0.0523721511503
10,0.0474917480232
11,0.0435707009884
12,0.0402732024913
13,0.0369710948709
14,0.0334405064241
15,0.0300560930305
16,0.0273966288872
17,0.024957744216
18,0.0229218286104
19,0.0209985073025
20,0.019129837028
21,0.0175666857836
22,0.0159482250595
23,0.0146840083833
24,0.0132459619142
25,0.0116722755308
26,0.0102928307721
27,0.00875338359034
28,0.00728768238136
29,0.00607745829237
30,0.00522937960542
31,0.00435825530197
32,0.0037886993515
33,0.00333568837586
34,0.00291296592475
35,0.00264761211199
36,0.00236184646747
37,0.00217813998171
38,0.00207937305388
39,0.00189171589101
40,0.00178570605514
41,0.00169484048153
42,0.00163360498628
43,0.00147162722464
44,0.00141829308362
45,0.00137022651207
46,0.00138405388197
47,0.00132479372527
48,0.00127672715373
49,0.0012095656428
50,0.00108841154467
51,0.00109367911415
52,0.00105417234302
53,0.00100610577148
54,0.000968574338904
55,0.000952771630451
56,0.000898779043238
57,0.000813839485306
58,0.000793427653555
59,0.000404944404096
