Station,ridesperday
HeathSt,820 
BackoftheHill,35
NewtonCentre,1891
ChestnutHill,1416
Reservoir,3404
HawesSt,339 
StMary’sSt,1532
BostonUnivEast,1747
BlandfordSt,1540
Riverway,495
Beaconsfield,1075
BrooklineHills,1225
Riverside,2241
Woodland,957
Waban,545
Fairbanks,444
BrandonHall,356
PackardsCorner,2654
BabcockSt,1387
MissionPark,548
FenwoodRoad,221
BrooklineVillage,3230
Longwood,2719
BrighamCircle,2547
 LongwoodMedicalArea,3813
Fenway,3488
ClevelandCircle,1457
EnglewoodAve,555
SutherlandRoad,856
WashingtonSt,1885
MuseumofFineArts,1683
NortheasternUniversity,2650
Kenmore,9503
Hynes,8946
Symphony,1711
Prudential,3643
DeanRoad,398
TappanSt,674
WarrenSt,2047
AllstonSt,1437
Eliot,814 
NewtonHighlands,1627
StPaulSt,849
KentSt,386
BostonUnivWest,704
BostonUnivCentral,2194
BostonCollege/LakeSt,1136
SouthStreet,214
WashingtonSq,1091
GriggsSt/LongAve,1203
HarvardAve,3602
ChestnutHillAve,626
ChiswickRoad,615
SummitAve,945 
CoolidgeCorner,3440
PleasantSt,1167
StPaulSt,1296
Copley,14021
Arlington,8519
Boylston,6826 
ParkStreet,8119
GovernmentCenter,7993
Haymarket,4428
NorthStation,6248
SciencePark,1042
Lechmere,6421
